SMILES,TITLE,TanimotoCombo,ColorTanimoto,Tanimoto
CS(=O)(=O)Nc1cccc(c1)C(=O)N2CCCCCC2,m_22bbh_57673_59988,0.96,0.29,0.67
c1cc(cc(c1)C(=O)N2CCCCCC2)C#N,m_22bbh_57673_59989,0.97,0.37,0.60
c1ccc(cc1)C(=O)CCC(=O)N2CCCCCC2,m_22bbh_57673_59990,1.08,0.35,0.72
c1cc(cc(c1)F)CC(=O)N2CCCCCC2,m_22bbh_57673_59991,1.05,0.37,0.69
C1CCCN(CC1)C(=O)CC2CCCCC2,m_22bbh_57673_59992,1.05,0.41,0.64
c1ccc(cc1)Oc2cccc(c2)[C@@H](CC(=O)N3CCCCCC3)NC(=O)N,m_22bbh_57673_59994,0.84,0.31,0.54
C1CCCN(CC1)C(=O)CN2C(=O)[C@H]3[C@@H]4C[C@H]([C@@H]3C2=O)C=C4,m_22bbh_57673_59997,1.04,0.33,0.71
CCOc1ccc(cc1)S(=O)(=O)NCCC(=O)N2CCCCCC2,m_22bbh_57673_59999,0.98,0.29,0.69
Cc1cc(cc(c1OCC(=O)N2CCCCCC2)C)Cl,m_22bbh_57673_60000,0.97,0.35,0.61
c1ccc(c(c1)CC(=O)N2CCCCCC2)Cl,m_22bbh_57673_60003,1.04,0.37,0.67
c1cc(c(cc1S(=O)(=O)NCCCC(=O)N2CCCCCC2)Cl)Cl,m_22bbh_57673_60004,0.93,0.29,0.63
CCOc1ccc(cc1)S(=O)(=O)NCC(=O)N2CCCCCC2,m_22bbh_57673_60005,1.02,0.31,0.71
CCOc1c(cc(cc1Br)C(=O)N2CCCCCC2)OC,m_22bbh_57673_60008,0.88,0.33,0.55
C1CCCN(CC1)C(=O)CCCNC(=O)N,m_22bbh_57673_60009,0.90,0.33,0.57
CCc1cccc(c1)OCC(=O)N2CCCCCC2,m_22bbh_57673_60011,1.01,0.29,0.71
c1cc(ccc1C(=O)N2CCC(CC2)C(=O)N3CCCCCC3)Cl,m_22bbh_57673_60014,0.89,0.31,0.58
c1cc2c(cc1CC(=O)N3CCCCCC3)OCCO2,m_22bbh_57673_60015,1.02,0.35,0.67
Cc1ccc(c(c1)S(=O)(=O)NCC(=O)N2CCCCCC2)C,m_22bbh_57673_60020,1.07,0.39,0.68
Cc1ccc(c(c1)S(=O)(=O)NCCC(=O)N2CCCCCC2)C,m_22bbh_57673_60022,1.01,0.33,0.68
Cc1ccc2c(c1)c(cc(n2)c3ccccc3)C(=O)N4CCCCCC4,m_22bbh_57673_60023,0.98,0.40,0.58
C[C@H](C(=O)N1CCCCCC1)N2C(=O)[C@H]3CCCC[C@@H]3C2=O,m_22bbh_57673_60025,1.07,0.35,0.72
Cc1ccc(cc1)OCC(=O)N2CCCCCC2,m_22bbh_57673_60027,1.07,0.33,0.74
Cc1cccc(c1)n2c(c(cn2)C(=O)N3CCCCCC3)C,m_22bbh_57673_334996,0.96,0.49,0.47
COc1cccc(c1OC)c2nc(cs2)C(=O)N3CCCCCC3,m_22bbh_57673_335008,0.87,0.20,0.67
CC(C)c1ccc(cc1)c2nc(cs2)C(=O)N3CCCCCC3,m_22bbh_57673_335026,0.88,0.22,0.66
c1ccc(cc1)[C@@H]2CC(=NN2c3ccccc3)C(=O)N4CCCCCC4,m_22bbh_57673_335118,0.95,0.37,0.58
c1ccn(c1)c2c(cnn2c3ccc(cc3)F)C(=O)N4CCCCCC4,m_22bbh_57673_335182,1.05,0.42,0.63
c1ccc(cc1)Cn2cccc2C(=O)N3CCCCCC3,m_22bbh_57673_335200,1.34,0.52,0.82
c1ccnc(c1)Oc2ccc(cc2)OCC(=O)N3CCCCCC3,m_22bbh_57673_335252,0.74,0.25,0.49
c1ccc(cc1)N2[C@H](CC(=N2)C(=O)N3CCCCCC3)C(=O)N,m_22bbh_57673_335260,0.89,0.21,0.68
Cc1ccc(cc1)n2c(c(cn2)C(=O)N3CCCCCC3)C,m_22bbh_57673_335284,0.90,0.40,0.49
CCCS(=O)(=O)Nc1cccc(c1)C(=O)N2CCCCCC2,m_22bbh_57673_335298,0.90,0.27,0.63
CCS(=O)(=O)Nc1cccc(c1)C(=O)N2CCCCCC2,m_22bbh_57673_335306,0.93,0.29,0.64
CCCCCCCC(=O)N1CCCCCC1,m_22bbh_57673_335742,0.85,0.20,0.65
CCCCCCC(=O)N1CCCCCC1,m_22bbh_57673_335768,0.88,0.22,0.66
Cc1nc(c(s1)CC(=O)N2CCCCCC2)c3ccc(cc3)F,m_22bbh_57673_335784,1.29,0.48,0.80
