SMILES,TITLE,TanimotoCombo,ColorTanimoto,Tanimoto
Cc1ccc(cc1Br)CC(=O)NCc2[nH]c(nn2)[C@H]3CCCO3,m_22bbh_11759862_9142718,0.86,0.24,0.62
C[C@H]1CCCC[N@@]1Cc2ccccc2CNC(=O)[C@H](C(C)C)N3CCCC3=O,m_22bbh_768540_2337000,0.91,0.28,0.63
CCn1ccc(c1)CNC(=O)c2coc(n2)C(C)C,m_22bbh_21037178_14423564,0.84,0.22,0.62
CCn1c2c(cc(s2)C(=O)N3CCC(CC3)[C@H]4CC4(F)F)c(n1)C,m_22bbh_14471102_20853236,0.90,0.35,0.55
COCCNC(=O)CN1CCN(CC1)C(=O)CC2CCCCCCC2,m_22bbh_136944_20853676,0.62,0.13,0.49
C=CC[N@@](c1ccc(cc1)Cl)S(=O)(=O)c2cc(ccc2Cl)C(=O)N3CCN(CC3)c4cccc(c4F)F,m_22bbh_9292504_59462,0.73,0.25,0.47
C[C@@H]1CN(CC[N@@]1C2CCCC2)C(=O)CCCNC3=NS(=O)(=O)c4c3cccc4,m_22bbh_13142200_60419,0.83,0.24,0.59
Cc1c(nnn1c2ccccc2)C(=O)N3CCN(CC3)C(=O)c4ccncc4,m_22bbh_16784098_1161620,0.70,0.23,0.47
CNS(=O)(=O)Cc1ccc(cc1)CNC(=O)CCc2c3cccc(c3[nH]c2c4ccccc4)Cl,m_22bbh_153675_15270218,0.71,0.21,0.50
Cc1c[nH]c(c1C(=O)N(C)CCOc2ccc(cc2)S(=O)(=O)N)CC(=O)N,m_22bbh_10466308_10854900,0.79,0.21,0.58
Cc1ccc(cc1C)OCC(=O)N[C@H](CO)[C@H]2COC(O2)(C)C,m_22bbh_20028954_59322,0.85,0.22,0.63
Cc1ccc2c(c1)nc(n2C)CCNC(=O)c3cnc(s3)c4ccc5c(c4)OCO5,m_22bbh_4113126_3218534,0.68,0.20,0.48
COc1ccc(cc1)[C@@H](C(=O)N2CCC(CC2)c3csc(n3)c4ccc(cc4)Cl)O,m_22bbh_13473140_19667272,0.74,0.20,0.54
CC[C@@H](CNC(=O)c1cc2c(cc1Cl)NC(=O)CO2)[N@@]3CCc4ccccc4C3,m_22bbh_586472_13529974,0.79,0.24,0.54
c1cnc2c(cnn2c1)C(=O)NC[C@@H]3CCNC(=O)C3,m_22bbh_20643900_311848,0.92,0.25,0.67
CC[C@H](COC)NC(=O)c1cnn(c1N)c2cccc(c2)Cl,m_22bbh_14728112_17637240,0.80,0.28,0.52
Cc1csc(n1)SCc2ccccc2C(=O)NCC[C@H]3CCOC3,m_22bbh_8696806_339664,0.81,0.32,0.50
CC(C)(C)OC(=O)NC[C@@]1(CC[C@@H](C1)C(=O)NC2CCN(CC2)Cc3coc(n3)c4ccccc4)F,m_22bbh_9406998_16477776,0.59,0.16,0.42
COc1cc(ccc1Cl)CCNC(=O)c2c[nH]c3c(c2=O)ccc(c3Br)Cl,m_22bbh_10563968_17759666,0.90,0.27,0.62
CN(C)CCCNC(=O)c1ncc(c(n1)OC)F,m_22bbh_57812_14579886,0.83,0.25,0.58
Cc1cc(n(n1)C2CCC2)C(=O)N3C[C@@H](O[C@@H](C3)c4ccc(cc4)F)C,m_22bbh_14471420_15085128,1.20,0.60,0.60
CC(C)(C1CCCCC1)C(=O)NCCCn2ccccc2=O,m_22bbh_2080432_7968788,0.89,0.24,0.65
Cc1cc(c(cc1F)C(=O)NCC2(CCCCC2)[N@@](C)Cc3ccccc3)N,m_22bbh_12856672_21057044,0.83,0.25,0.58
